userId,sex_cd,age5_band,pfgn1,pfgn2,avg_wtch_cnt,avg_fwtch_cnt,avg_buy_cnt,avg_buy_amt,price_band
2153009022,FEMALE,5.0,극장판 애니,액션,2.0,1.0,2.0,4767.0,3575.0
2153056339,FEMALE,10.0,드라마,액션,11.0,1.0,1.0,4384.0,4383.0
2153684939,MALE,12.0,성인,액션,5.0,1.0,4.0,6600.0,1980.0
2154192293,MALE,10.0,성인,0,10.0,0.0,2.0,7500.0,3750.0
2154789511,FEMALE,7.0,드라마,로맨스,9.0,5.0,2.0,6400.0,3200.0
2155585757,FEMALE,7.0,액션,SF/판타지,2.0,1.0,2.0,4967.0,2980.0
2155841388,FEMALE,11.0,액션,SF/판타지,3.0,1.0,2.0,5000.0,3000.0
2155956715,MALE,11.0,드라마,코미디,4.0,2.0,2.0,7500.0,4500.0
2156361886,MALE,5.0,극장판 애니,액션,2.0,0.0,2.0,5034.0,3775.0
2157407112,MALE,7.0,극장판 애니,로맨스,15.0,9.0,4.0,6500.0,1773.0
2157539928,MALE,5.0,스릴러,코미디,4.0,3.0,1.0,4634.0,4633.0
2157575678,MALE,10.0,SF/판타지,액션,1.0,0.0,1.0,5667.0,5667.0
215803872,FEMALE,9.0,극장판 애니,코미디,1.0,0.0,1.0,4634.0,4633.0
2159179007,MALE,8.0,드라마,극장판 애니,5.0,1.0,2.0,5467.0,4100.0
2159362288,MALE,9.0,액션,SF/판타지,3.0,1.0,2.0,7134.0,3567.0
2159679421,FEMALE,11.0,액션,극장판 애니,5.0,3.0,2.0,5684.0,3410.0
2160165808,FEMALE,9.0,드라마,극장판 애니,3.0,2.0,1.0,5000.0,5000.0
2160322349,MALE,7.0,드라마,액션,2.0,1.0,1.0,4634.0,4633.0
2160882542,MALE,12.0,극장판 애니,액션,8.0,6.0,2.0,5200.0,2600.0
2161705478,FEMALE,8.0,액션,로맨스,4.0,2.0,2.0,5467.0,4100.0
2161732616,FEMALE,10.0,드라마,공포,10.0,6.0,4.0,6734.0,2020.0
2162045805,FEMALE,9.0,극장판 애니,스릴러,6.0,3.0,2.0,6967.0,5225.0
2162156616,FEMALE,6.0,액션,코미디,10.0,7.0,4.0,5767.0,1730.0
2162180716,FEMALE,9.0,드라마,스릴러,3.0,2.0,2.0,5634.0,4225.0
2162806248,FEMALE,9.0,코미디,드라마,4.0,2.0,2.0,6667.0,4000.0
2163276684,MALE,10.0,극장판 애니,액션,2.0,0.0,2.0,5467.0,4100.0
2163821463,MALE,6.0,SF/판타지,액션,3.0,2.0,1.0,5167.0,5167.0
2163985920,MALE,8.0,드라마,극장판 애니,3.0,1.0,2.0,6767.0,4060.0
2164263517,MALE,8.0,극장판 애니,드라마,2.0,0.0,2.0,6567.0,3940.0
2164452600,FEMALE,8.0,극장판 애니,액션,3.0,1.0,2.0,7167.0,4300.0
2164886769,FEMALE,5.0,액션,스릴러,2.0,0.0,2.0,5000.0,3000.0
216508880,FEMALE,10.0,로맨스,액션,2.0,0.0,1.0,5000.0,5000.0
2165370413,MALE,11.0,드라마,SF/판타지,24.0,5.0,2.0,5967.0,4475.0
2165900065,0,0.0,극장판 애니,액션,6.0,2.0,5.0,6434.0,1485.0
2166020894,MALE,6.0,코미디,드라마,2.0,1.0,1.0,6334.0,6333.0
2166218951,MALE,10.0,액션,0,6.0,4.0,1.0,5000.0,5000.0
2166391403,MALE,8.0,드라마,액션,2.0,1.0,1.0,5000.0,5000.0
216667202,MALE,7.0,SF/판타지,드라마,1.0,0.0,1.0,5834.0,5833.0
2166705679,FEMALE,5.0,로맨스,코미디,3.0,1.0,2.0,6634.0,3317.0
2167651728,FEMALE,7.0,액션,0,3.0,0.0,2.0,6000.0,4500.0
2168656850,FEMALE,9.0,드라마,로맨스,3.0,1.0,2.0,6400.0,3840.0
2169195113,FEMALE,10.0,드라마,액션,4.0,1.0,3.0,8000.0,3429.0
2169320276,FEMALE,7.0,극장판 애니,0,23.0,4.0,2.0,6734.0,5050.0
2169536051,MALE,14.0,성인,0,6.0,1.0,2.0,5000.0,3000.0
2169770239,MALE,7.0,극장판 애니,SF/판타지,2.0,0.0,2.0,6300.0,3780.0
216990432,FEMALE,11.0,스릴러,드라마,3.0,1.0,1.0,5834.0,5833.0
2170472824,MALE,6.0,드라마,0,8.0,6.0,1.0,4634.0,4633.0
2170498586,MALE,7.0,액션,극장판 애니,3.0,1.0,2.0,6767.0,3383.0
