base_company,AGE,SEX,other_company,overlap_users,total_users,overlap_ratio_percent
samsunge,50,FEMALE,haier,2,154,1.3
samsunge,50,MALE,himart,32,187,17.1
samsunge,50,MALE,cuckoo,27,187,14.4
samsunge,50,MALE,lge,13,187,7.0
samsunge,50,MALE,xaomi,1,187,0.5
samsunge,60,FEMALE,lge,8,43,18.6
samsunge,60,FEMALE,cuckoo,8,43,18.6
samsunge,60,FEMALE,himart,6,43,14.0
samsunge,60,MALE,cuckoo,9,41,22.0
samsunge,60,MALE,lge,5,41,12.2
samsunge,60,MALE,himart,3,41,7.3
samsunge,70,FEMALE,cuckoo,1,5,20.0
samsunge,70,MALE,himart,1,7,14.3
samsunge,70,MALE,cuckoo,1,7,14.3
xaomi,20,FEMALE,lge,42,692,6.1
xaomi,20,FEMALE,cuckoo,36,692,5.2
xaomi,20,FEMALE,himart,16,692,2.3
xaomi,20,MALE,himart,245,2456,10.0
xaomi,20,MALE,cuckoo,123,2456,5.0
xaomi,20,MALE,lge,117,2456,4.8
xaomi,20,MALE,carrier,10,2456,0.4
xaomi,20,MALE,haier,2,2456,0.1
xaomi,20,MALE,samsunge,3,2456,0.1
xaomi,30,FEMALE,himart,214,2532,8.5
xaomi,30,FEMALE,cuckoo,212,2532,8.4
xaomi,30,FEMALE,lge,100,2532,3.9
xaomi,30,FEMALE,carrier,10,2532,0.4
xaomi,30,FEMALE,samsunge,5,2532,0.2
xaomi,30,FEMALE,haier,1,2532,0.0
xaomi,30,MALE,himart,1317,8263,15.9
xaomi,30,MALE,cuckoo,652,8263,7.9
xaomi,30,MALE,lge,386,8263,4.7
xaomi,30,MALE,carrier,37,8263,0.4
xaomi,30,MALE,samsunge,14,8263,0.2
xaomi,30,MALE,cooing,2,8263,0.0
xaomi,30,MALE,haier,4,8263,0.0
xaomi,40,FEMALE,himart,328,3529,9.3
xaomi,40,FEMALE,cuckoo,291,3529,8.2
xaomi,40,FEMALE,lge,137,3529,3.9
xaomi,40,FEMALE,carrier,4,3529,0.1
xaomi,40,FEMALE,samsunge,1,3529,0.0
xaomi,40,MALE,himart,2356,12338,19.1
xaomi,40,MALE,cuckoo,1075,12338,8.7
xaomi,40,MALE,lge,530,12338,4.3
xaomi,40,MALE,carrier,55,12338,0.4
xaomi,40,MALE,samsunge,24,12338,0.2
xaomi,40,MALE,haier,9,12338,0.1
xaomi,40,MALE,modevi,1,12338,0.0
xaomi,40,MALE,cooing,2,12338,0.0
xaomi,50,FEMALE,cuckoo,149,1755,8.5
xaomi,50,FEMALE,lge,121,1755,6.9
xaomi,50,FEMALE,himart,118,1755,6.7
xaomi,50,FEMALE,carrier,2,1755,0.1
xaomi,50,MALE,himart,866,6475,13.4
xaomi,50,MALE,cuckoo,603,6475,9.3
xaomi,50,MALE,lge,371,6475,5.7
xaomi,50,MALE,carrier,19,6475,0.3
xaomi,50,MALE,cooing,1,6475,0.0
xaomi,50,MALE,haier,2,6475,0.0
xaomi,50,MALE,samsunge,1,6475,0.0
xaomi,60,FEMALE,cuckoo,90,782,11.5
xaomi,60,FEMALE,lge,85,782,10.9
xaomi,60,FEMALE,himart,45,782,5.8
xaomi,60,FEMALE,carrier,3,782,0.4
xaomi,60,MALE,cuckoo,168,1945,8.6
xaomi,60,MALE,lge,100,1945,5.1
xaomi,60,MALE,himart,95,1945,4.9
xaomi,60,MALE,carrier,4,1945,0.2
xaomi,60,MALE,haier,1,1945,0.1
xaomi,70,FEMALE,cuckoo,41,310,13.2
xaomi,70,FEMALE,lge,29,310,9.4
xaomi,70,FEMALE,himart,18,310,5.8
xaomi,70,FEMALE,carrier,1,310,0.3
xaomi,70,MALE,cuckoo,68,616,11.0
xaomi,70,MALE,lge,27,616,4.4
xaomi,70,MALE,himart,16,616,2.6
