movieId,rating,title,genres,create_yr,director,actor1,wtch_cnt,sales_amt_3m,price
1023227286,0.1901885385606468,"뮤직비디오: ""Just Like Fire"" by Pink",영화|드라마|NaN,2016,제임스 보빈, 조니 뎁,2,0.0,6500
1023408095,0.11151600294955222,악령의 집,영화|스릴러|NaN,2016,알렉스 머킨, 테렌스 하워드,9,2800.0,1400
1023577346,0.06693752412564172,다이너소어(Dinosaur),영화|극장판 애니|NaN,2015,"랠프 존다그, 에릭 라이튼", 디비 스위니,2334,0.0,900
102424851,0.07100337156244783,"쿼바디스(QUO VADIS,2014)",영화|드라마|NaN,2015,김재환, 이종윤,57,18200.0,900
1024289894,0.1024896945099597,잭 리처(Jack Reacher),영화|액션|NaN,2014,크리스토퍼 맥쿼리, 톰 크루즈,9006,42500.0,2500
1024379292,0.0957935731429956,디데이,영화|드라마|NaN,2019,헨리 코스터, 로버트 테일러,4,2800.0,1400
1024483608,0.082446583467879,몬스터 가디언즈,영화|액션|NaN,2019,다니엘 와이즈, 에바레나 마리,23,1400.0,1400
1024484371,0.12267485026269255,출장 마사지: 흥분한 여자들 2,영화|성인|한국,2021,김진우,"민호, 지성, 효원, 서아, 미투",97,25000.0,2500
1025782357,0.15353538980957152,피노키오(Pinocchio),영화|극장판 애니|NaN,2013,벤 샤프스핀, 딕키 존스,4852,0.0,5500
102621078,0.171583870047409,레고 DC 코믹스 슈퍼 히어로 저스티스리그:둠 군단의 공격!,영화|극장판 애니|어린이/가족,2015,릭 모라레스, 조쉬 키튼,26,65000.0,6500
1026868809,0.09503318337251389,다른 맛: 너무 다른 쌍둥이 형제,영화|성인|한국,2021,윤경식,"정주아, 이새봄, 채소정",667,115000.0,2500
1027448534,0.07849612164135952,하이 스쿨 뮤지컬 2 (High School Musical 2),영화|코미디|NaN,2013,케니 오테가, 잭 애프런,4,2800.0,900
1027454916,0.07152187251529547,허니문(Honeymoon),영화|공포|NaN,2015,리 자니악, 로즈 레슬리,105,23800.0,900
1027530452,0.09446147923916569,스타 워즈: 깨어난 포스(Star Wars: The Force Awakens),영화|액션|NaN,2016,J.J. 에이브럼스, 데이지 리들리,182,135800.0,1400
1027635171,0.1056952764658858,팬티내린 간호사: 아버님 대흥분,영화|성인|일본,2021,시미즈 다이케이,"미소라 하나, 미즈타니 아오이, 나카미츠 세이지",937,95000.0,2500
1027892038,0.07412315628796436,콜로설,영화|스릴러|NaN,2017,나초 비가론도, 앤 해서웨이,29,12600.0,1400
1027900502,0.083864872819139,러시: 더 라이벌,영화|액션|NaN,2016,론 하워드, 크리스 헴스워스,6,0.0,2000
102806794,0.09840051222304202,우리 방금 결혼했어요(Just Married),영화|로맨스|NaN,2014,숀 레비, 애쉬튼 커쳐,17,16800.0,900
1028174642,0.10493871922693138,뽀로로 극장판 보물섬 대모험,영화|극장판 애니|NaN,2019,김현호, 이선,42123,6465000.0,2500
1028682931,0.0655462317005078,친구 아내는 야한 가정교사,영화|성인|캐치온,2020,베타 타카오, 쿠로사와 아키나,263,0.0,0
1028906212,0.07874863646405697,음란 부인의 대실수: 어쩌나,영화|성인|일본,2020,가토 마사키, 사사키 아키,63,0.0,2500
1029172172,0.10288195633587863,콘티키: 위대한 항해,영화|드라마|NaN,2020,요아킴 뢰닝, 폴 스베레 발헤임 하겐,89,42500.0,2500
102926745,0.12232955333623613,전신 망사로 색기 뿜어대는 4차원녀,영화|성인|일본,2020,에릭, 하나,17,2500.0,2500
1029622224,0.08380720525730823,가족의 나라,영화|드라마|NaN,2013,양영희, 안도 사쿠라,62,36400.0,900
1030129845,0.09148716093660512,이블데드 2020,영화|공포|NaN,2020,라파엘레 피치오, 아론 스티엘스트라,255,37500.0,2500
1030150207,0.07014830441794172,미키의 크리스마스 선물(Mickey`s Twice Upon a Christmas),영화|극장판 애니|NaN,2013,매튜 오칼라헌, 강수진,70,70000.0,1400
1030210843,0.06573140534968168,맥스 페인(Max Payne),영화|액션|NaN,2016,존 무어, 마크 월버그,7,8400.0,900
1030305558,0.11620595204510721,처형의 맛 판,영화|성인|일본,2020,오자키 히로코우지,"하타노 유이, 아베 신지, 테루모토 사츠키",121,37500.0,2500
103037956,0.0986784013381265,알파 테스트,영화|SF/판타지|NaN,2021,아론 머티스, 레이 헌트,18,31000.0,2500
1030427763,0.09228336211583253,폴리스,영화|드라마|NaN,2021,안느 퐁텐, 오마르 사이,1140,70500.0,2500
103079435,0.1049175837720001,스톰: 위대한 여정,영화|액션|NaN,2017,데니스 보츠, 요릭 밴 와게닌젠,1,1400.0,1400
1031809964,0.07821531747002351,퍼시 잭슨과 번개 도둑(Percy Jackson & The Olympians: The Lightning Thief),영화|SF/판타지|NaN,2014,크리스 콜럼버스, 로건 레먼,606,478800.0,900
1031963702,0.12347784425328472,13번째 전사(The 13th Warrior),영화|액션|NaN,2013,"마이클 크라이튼,존 맥티어난", 안토니오 반데라스,13,5500.0,5500
1031974632,0.1324469524104726,비밀이 아닌 이야기,영화|드라마|NaN,2021,쏘어 프류덴탈, 안나소피아 롭,8,13500.0,2500
1032279551,0.07694353394318583,도라에몽: 스탠 바이 미(Stand by Me Doraemon),영화|극장판 애니|어린이/가족,2015,야마자키 타카시, 문남숙,3687,1085000.0,900
1032868945,0.09733818545795796,트리플 엑스 리턴즈,영화|액션|NaN,2017,D.J. 카루소, 빈 디젤,2218,1180000.0,2500
1032928582,0.1116053589462484,비독: 파리의 황제,영화|액션|NaN,2020,장-프랑소와 리셰, 뱅상 카셀,388,97500.0,2500
1032982610,0.03471704719064196,도굴꾼: 옥패의 비밀,영화|액션|NaN,2021,류오 리, 우첸위,140,0.0,0
1033143943,0.20382582377128974,수퍼맨 4: 최강의 적(Superman 4),영화|액션|NaN,2015,시드니 J. 퓨리, 크리스토퍼 리브,12,13000.0,6500
1033181903,0.10334231785352548,교수와 여제자2,영화|로맨스|성인/에로,2021,장-클로드 브리소, 캐롤 브라나,139,91600.0,900
1033610849,0.08288288800980825,에이미(Amy),영화|드라마|NaN,2015,아시프 카파디아, 에이미 와인하우스,64,28000.0,900
1033753747,0.07034165886810037,섹스주의보,영화|성인|비디오물,2019,미시마, 미츠이 히카리,62,0.0,0
1033761078,0.05232111835552774,1M 분수터진 현역여대생의 마사지,영화|성인|캐치온,2021,kc타케다, 아리하나 모에,2445,0.0,0
1033790520,0.11428441903341077,브레이브 원(The Brave One),영화|스릴러|NaN,2020,닐 조단, 조디 포스터,69,90000.0,2500
1033975306,0.13032930849072008,근육질 흑형에게 털려버린 육체,영화|성인|해외,2020,존킹, 테일러 메이,153,85000.0,2500
1034223906,0.21101738582907487,Freak of Nature 작업 과정,영화|극장판 애니|액션,2020,"닉 브루노, 트로이 콴", 윌 스미스,35,0.0,9900
1034254954,0.07945338854163596,에브리데이,영화|로맨스|NaN,2018,마이클 수지, 앵거리 라이스,1784,0.0,1400
1034338113,0.04469683535884426,엄마친구 6,영화|성인|캐치온,2020,김민우, 새롬,549,0.0,0
1034378799,0.11193284811588416,안에다 해도 되는 분리수거 아줌마,영화|성인|한국,2020,디.스타일, 민정,36,7500.0,2500
1034685238,0.1064930811306131,마라가 큰 결정을 해야 해,영화|코미디|NaN,2021,로버트 루케틱, 사라 힐랜드,36,10500.0,2500
1034720345,0.05559484020639792,위 아래로 동시에 물려줘,영화|성인|비디오물,2021,안나 리차즈,"알렉시스 크리스탈, 에드워드 로스",803,0.0,0
1034780676,0.09407509206836846,카페 벨에포크,영화|극장판 애니|캐치온,2020,니콜라스 베도스, 다니엘 오떼유,36,0.0,0
10347863,0.11460728713409965,서유기: 위기의 손오공,영화|액션|무협,2021,마중헌, 도성성,412,2165000.0,3500
1034849906,0.09739926067551648,봄날은 간다,영화|로맨스|NaN,2020,허진호, 유지태,2743,0.0,2500
1034886568,0.10658893849636335,유어 뷰티풀,영화|로맨스|NaN,2017,바바라 톱소-로첸버그, 클라라 로세이저,8,1400.0,1400
1034887081,0.09841570037849534,노래로 쏘아 올린 기적,영화|드라마|NaN,2017,하니 아부 아사드, 타우픽 바롬,48,19600.0,1400
1035115789,0.10097263180390122,예쁜식모2: 취집전략,영화|성인|한국,2021,이유영,"민도윤, 새봄, 주아",190,110000.0,2500
103562050,0.0920111083039787,퍼스트 킹: 왕의 탄생,영화|액션|NaN,2017,필립 토드, 제이크 맥게리,23,5600.0,1400
1035836084,0.07145695940226793,스켈리톤 키(The Skeleton Key),영화|공포|NaN,2014,이언 소프트리, 케이트 허드슨,199,170800.0,900
103596897,0.09801641355032967,성인 여배우 리얼 팬미팅,영화|성인|일본,2020,코지마 유키오,"하나가와 미카, 나카마 유코, 사사키 히타노",190,2500.0,2500
1035993704,0.10309398322973609,센과 치히로의 행방불명,영화|극장판 애니|어린이/가족,2020,미야자키 하야오, 히이라기 루미,2407,2665000.0,2500
1036009418,0.09300619082115404,도쿄 구울,영화|SF/판타지|NaN,2019,하기와라 켄타로, 쿠보타 마사타카,178,80000.0,2500
103615108,0.12297929456118711,여사장과 자본 대학생,영화|성인|일본,2020,데이비드 김, 시지미,33,0.0,2500
1036253877,0.07658415582350286,원티드 (Wanted),영화|액션|NaN,2014,티무르 베크맘베토브, 제임스 맥어보이,3689,0.0,900
1036315912,0.07292566512766455,발렌타인 데이(Valentine`s Day),영화|로맨스|NaN,2015,게리 마샬, 제시카 알바,24,27500.0,900
103649788,0.1156465007367405,중년 파트너 소개소 삽입시그널,영화|성인|일본,2020,후지모리 테츠야, 아사미야 료코,38,2500.0,2500
1036664881,0.05998003162515906,"포켓몬스터 베스트위시 신의 속도 게노세크트, 뮤츠의 각성",영화|극장판 애니|캐치온,2019,유야마 쿠니히코, 이선호,170,0.0,0
1036760939,0.05199970674404382,운동으로 다져진 찰진 엉덩이의 유혹,영화|성인|비디오물,2019,이감독, 반희,46,0.0,0
1037145137,0.10609153670038934,바람난 형수님 밤에 우는가,영화|성인|한국,2021,정지승,"이초희, 고길동, 김도진, 이지아",78,25000.0,2500
1037607066,0.11424307138137825,남자 대학 후배와 끝장 정사,영화|성인|일본,2020,고바야시 이치로, 스노하라 미키,146,0.0,2500
